raw_symbol,instrument_id,date
ETHH4,37289,2022-09-18
ETHH4,37289,2022-09-19
ETHH4,37289,2022-09-20
ETHH4,37289,2022-09-21
ETHH4,37289,2022-09-22
ETHH4,37289,2022-09-23
ETHH4,37289,2022-09-24
ETHH4,37289,2022-09-25
ETHH4,37289,2022-09-26
ETHH4,37289,2022-09-27
ETHH4,37289,2022-09-28
ETHH4,37289,2022-09-29
ETHH4,37289,2022-09-30
ETHH4,37289,2022-10-01
ETHH4,37289,2022-10-02
ETHH4,37289,2022-10-03
ETHH4,37289,2022-10-04
ETHH4,37289,2022-10-05
ETHH4,37289,2022-10-06
ETHH4,37289,2022-10-07
ETHH4,37289,2022-10-08
ETHH4,37289,2022-10-09
ETHH4,37289,2022-10-10
ETHH4,37289,2022-10-11
ETHH4,37289,2022-10-12
ETHH4,37289,2022-10-13
ETHH4,37289,2022-10-14
ETHH4,37289,2022-10-15
ETHH4,37289,2022-10-16
ETHH4,37289,2022-10-17
ETHH4,37289,2022-10-18
ETHH4,37289,2022-10-19
ETHH4,37289,2022-10-20
ETHH4,37289,2022-10-21
ETHH4,37289,2022-10-22
ETHH4,37289,2022-10-23
ETHH4,37289,2022-10-24
ETHH4,37289,2022-10-25
ETHH4,37289,2022-10-26
ETHH4,37289,2022-10-27
ETHH4,37289,2022-10-28
ETHH4,37289,2022-10-29
ETHH4,37289,2022-10-30
ETHH4,37289,2022-10-31
ETHH4,37289,2022-11-01
ETHH4,37289,2022-11-02
ETHH4,37289,2022-11-03
ETHH4,37289,2022-11-04
ETHH4,37289,2022-11-05
ETHH4,37289,2022-11-06
ETHH4,37289,2022-11-07
ETHH4,37289,2022-11-08
ETHH4,37289,2022-11-09
ETHH4,37289,2022-11-10
ETHH4,37289,2022-11-11
ETHH4,37289,2022-11-12
ETHH4,37289,2022-11-13
ETHH4,37289,2022-11-14
ETHH4,37289,2022-11-15
ETHH4,37289,2022-11-16
ETHH4,37289,2022-11-17
ETHH4,37289,2022-11-18
ETHH4,37289,2022-11-19
ETHH4,37289,2022-11-20
ETHH4,37289,2022-11-21
ETHH4,37289,2022-11-22
ETHH4,37289,2022-11-23
ETHH4,37289,2022-11-24
ETHH4,37289,2022-11-25
ETHH4,37289,2022-11-26
ETHH4,37289,2022-11-27
ETHH4,37289,2022-11-28
ETHH4,37289,2022-11-29
ETHH4,37289,2022-11-30
ETHH4,37289,2022-12-01
ETHH4,37289,2022-12-02
ETHH4,37289,2022-12-03
ETHH4,37289,2022-12-04
ETHH4,37289,2022-12-05
ETHH4,37289,2022-12-06
ETHH4,37289,2022-12-07
ETHH4,37289,2022-12-08
ETHH4,37289,2022-12-09
ETHH4,37289,2022-12-10
ETHH4,37289,2022-12-11
ETHH4,37289,2022-12-12
ETHH4,37289,2022-12-13
ETHH4,37289,2022-12-14
ETHH4,37289,2022-12-15
ETHH4,37289,2022-12-16
ETHH4,37289,2022-12-17
ETHH4,37289,2022-12-18
ETHH4,37289,2022-12-19
ETHH4,37289,2022-12-20
ETHH4,37289,2022-12-21
ETHH4,37289,2022-12-22
ETHH4,37289,2022-12-23
ETHH4,37289,2022-12-24
ETHH4,37289,2022-12-25
ETHH4,37289,2022-12-26
ETHH4,37289,2022-12-27
ETHH4,37289,2022-12-28
ETHH4,37289,2022-12-29
ETHH4,37289,2022-12-30
ETHH4,37289,2022-12-31
ETHH4,37289,2023-01-01
ETHH4,37289,2023-01-02
ETHH4,37289,2023-01-03
ETHH4,37289,2023-01-04
ETHH4,37289,2023-01-05
ETHH4,37289,2023-01-06
ETHH4,37289,2023-01-07
ETHH4,37289,2023-01-08
ETHH4,37289,2023-01-09
ETHH4,37289,2023-01-10
ETHH4,37289,2023-01-11
ETHH4,37289,2023-01-12
ETHH4,37289,2023-01-13
ETHH4,37289,2023-01-14
ETHH4,37289,2023-01-15
ETHH4,37289,2023-01-16
ETHH4,37289,2023-01-17
ETHH4,37289,2023-01-18
ETHH4,37289,2023-01-19
ETHH4,37289,2023-01-20
ETHH4,37289,2023-01-21
ETHH4,37289,2023-01-22
ETHH4,37289,2023-01-23
ETHH4,37289,2023-01-24
ETHH4,37289,2023-01-25
ETHH4,37289,2023-01-26
ETHH4,37289,2023-01-27
ETHH4,37289,2023-01-28
ETHH4,37289,2023-01-29
ETHH4,37289,2023-01-30
ETHH4,37289,2023-01-31
ETHH4,37289,2023-02-01
ETHH4,37289,2023-02-02
ETHH4,37289,2023-02-03
ETHH4,37289,2023-02-04
ETHH4,37289,2023-02-05
ETHH4,37289,2023-02-06
ETHH4,37289,2023-02-07
ETHH4,37289,2023-02-08
ETHH4,37289,2023-02-09
ETHH4,37289,2023-02-10
ETHH4,37289,2023-02-11
ETHH4,37289,2023-02-12
ETHH4,37289,2023-02-13
ETHH4,37289,2023-02-14
ETHH4,37289,2023-02-15
ETHH4,37289,2023-02-16
ETHH4,37289,2023-02-17
ETHH4,37289,2023-02-18
ETHH4,37289,2023-02-19
ETHH4,37289,2023-02-20
ETHH4,37289,2023-02-21
ETHH4,37289,2023-02-22
ETHH4,37289,2023-02-23
ETHH4,37289,2023-02-24
ETHH4,37289,2023-02-25
ETHH4,37289,2023-02-26
ETHH4,37289,2023-02-27
ETHH4,37289,2023-02-28
ETHH4,37289,2023-03-01
ETHH4,37289,2023-03-02
ETHH4,37289,2023-03-03
ETHH4,37289,2023-03-04
ETHH4,37289,2023-03-05
ETHH4,37289,2023-03-06
ETHH4,37289,2023-03-07
ETHH4,37289,2023-03-08
ETHH4,37289,2023-03-09
ETHH4,37289,2023-03-10
ETHH4,37289,2023-03-11
ETHH4,37289,2023-03-12
ETHH4,37289,2023-03-13
ETHH4,37289,2023-03-14
ETHH4,37289,2023-03-15
ETHH4,37289,2023-03-16
ETHH4,37289,2023-03-17
ETHH4,37289,2023-03-18
ETHH4,37289,2023-03-19
ETHH4,37289,2023-03-20
ETHH4,37289,2023-03-21
ETHH4,37289,2023-03-22
ETHH4,37289,2023-03-23
ETHH4,37289,2023-03-24
ETHH4,37289,2023-03-25
ETHH4,37289,2023-03-26
ETHH4,37289,2023-03-27
ETHH4,37289,2023-03-28
ETHH4,37289,2023-03-29
ETHH4,37289,2023-03-30
ETHH4,37289,2023-03-31
ETHH4,37289,2023-04-01
ETHH4,37289,2023-04-02
ETHH4,37289,2023-04-03
ETHH4,37289,2023-04-04
ETHH4,37289,2023-04-05
ETHH4,37289,2023-04-06
ETHH4,37289,2023-04-07
ETHH4,37289,2023-04-08
ETHH4,37289,2023-04-09
ETHH4,37289,2023-04-10
ETHH4,37289,2023-04-11
ETHH4,37289,2023-04-12
ETHH4,37289,2023-04-13
ETHH4,37289,2023-04-14
ETHH4,37289,2023-04-15
ETHH4,37289,2023-04-16
ETHH4,37289,2023-04-17
ETHH4,37289,2023-04-18
ETHH4,37289,2023-04-19
ETHH4,37289,2023-04-20
ETHH4,37289,2023-04-21
ETHH4,37289,2023-04-22
ETHH4,37289,2023-04-23
ETHH4,37289,2023-04-24
ETHH4,37289,2023-04-25
ETHH4,37289,2023-04-26
ETHH4,37289,2023-04-27
ETHH4,37289,2023-04-28
ETHH4,37289,2023-04-29
ETHH4,37289,2023-04-30
ETHH4,37289,2023-05-01
ETHH4,37289,2023-05-02
ETHH4,37289,2023-05-03
ETHH4,37289,2023-05-04
ETHH4,37289,2023-05-05
ETHH4,37289,2023-05-06
ETHH4,37289,2023-05-07
ETHH4,37289,2023-05-08
ETHH4,37289,2023-05-09
ETHH4,37289,2023-05-10
ETHH4,37289,2023-05-11
ETHH4,37289,2023-05-12
ETHH4,37289,2023-05-13
ETHH4,37289,2023-05-14
ETHH4,37289,2023-05-15
ETHH4,37289,2023-05-16
ETHH4,37289,2023-05-17
ETHH4,37289,2023-05-18
ETHH4,37289,2023-05-19
ETHH4,37289,2023-05-20
ETHH4,37289,2023-05-21
ETHH4,37289,2023-05-22
ETHH4,37289,2023-05-23
ETHH4,37289,2023-05-24
ETHH4,37289,2023-05-25
ETHH4,37289,2023-05-26
ETHH4,37289,2023-05-27
ETHH4,37289,2023-05-28
ETHH4,37289,2023-05-29
ETHH4,37289,2023-05-30
ETHH4,37289,2023-05-31
ETHH4,37289,2023-06-01
ETHH4,37289,2023-06-02
ETHH4,37289,2023-06-03
ETHH4,37289,2023-06-04
ETHH4,37289,2023-06-05
ETHH4,37289,2023-06-06
ETHH4,37289,2023-06-07
ETHH4,37289,2023-06-08
ETHH4,37289,2023-06-09
ETHH4,37289,2023-06-10
ETHH4,37289,2023-06-11
ETHH4,37289,2023-06-12
ETHH4,37289,2023-06-13
ETHH4,37289,2023-06-14
ETHH4,37289,2023-06-15
ETHH4,37289,2023-06-16
ETHH4,37289,2023-06-17
ETHH4,37289,2023-06-18
ETHH4,37289,2023-06-19
ETHH4,37289,2023-06-20
ETHH4,37289,2023-06-21
ETHH4,37289,2023-06-22
ETHH4,37289,2023-06-23
ETHH4,37289,2023-06-24
ETHH4,37289,2023-06-25
ETHH4,37289,2023-06-26
ETHH4,37289,2023-06-27
ETHH4,37289,2023-06-28
ETHH4,37289,2023-06-29
ETHH4,37289,2023-06-30
ETHH4,37289,2023-07-01
ETHH4,37289,2023-07-02
ETHH4,37289,2023-07-03
ETHH4,37289,2023-07-04
ETHH4,37289,2023-07-05
ETHH4,37289,2023-07-06
ETHH4,37289,2023-07-07
ETHH4,37289,2023-07-08
ETHH4,37289,2023-07-09
ETHH4,37289,2023-07-10
ETHH4,37289,2023-07-11
ETHH4,37289,2023-07-12
ETHH4,37289,2023-07-13
ETHH4,37289,2023-07-14
ETHH4,37289,2023-07-15
ETHH4,37289,2023-07-16
ETHH4,37289,2023-07-17
ETHH4,37289,2023-07-18
ETHH4,37289,2023-07-19
ETHH4,37289,2023-07-20
ETHH4,37289,2023-07-21
ETHH4,37289,2023-07-22
ETHH4,37289,2023-07-23
ETHH4,37289,2023-07-24
ETHH4,37289,2023-07-25
ETHH4,37289,2023-07-26
ETHH4,37289,2023-07-27
ETHH4,37289,2023-07-28
ETHH4,37289,2023-07-29
ETHH4,37289,2023-07-30
ETHH4,37289,2023-07-31
ETHH4,37289,2023-08-01
ETHH4,37289,2023-08-02
ETHH4,37289,2023-08-03
ETHH4,37289,2023-08-04
ETHH4,37289,2023-08-05
ETHH4,37289,2023-08-06
ETHH4,37289,2023-08-07
ETHH4,37289,2023-08-08
ETHH4,37289,2023-08-09
ETHH4,37289,2023-08-10
ETHH4,37289,2023-08-11
ETHH4,37289,2023-08-12
ETHH4,37289,2023-08-13
ETHH4,37289,2023-08-14
ETHH4,37289,2023-08-15
ETHH4,37289,2023-08-16
ETHH4,37289,2023-08-17
ETHH4,37289,2023-08-18
ETHH4,37289,2023-08-19
ETHH4,37289,2023-08-20
ETHH4,37289,2023-08-21
ETHH4,37289,2023-08-22
ETHH4,37289,2023-08-23
ETHH4,37289,2023-08-24
ETHH4,37289,2023-08-25
ETHH4,37289,2023-08-26
ETHH4,37289,2023-08-27
ETHH4,37289,2023-08-28
ETHH4,37289,2023-08-29
ETHH4,37289,2023-08-30
ETHH4,37289,2023-08-31
ETHH4,37289,2023-09-01
ETHH4,37289,2023-09-02
ETHH4,37289,2023-09-03
ETHH4,37289,2023-09-04
ETHH4,37289,2023-09-05
